processed_text,spam
volatility curves linked reuters hi tanya attached live reuters linked volatility curves please establish links think telerate connection works way london get back cleaning historical forward curve database complete metal talk pm agreed regards anjam p think fast dial,0
organizational announcement fyi forwarded osman sezgen hou ees pm enron energy services ees distribution pm sent kay chapman ees cc subject organizational announcement consistent floor talks couple weeks ago following e mail describing latest changes risk back office functions complete ees risk management vast majority ees risk controls operations group become new group enron wholesale services group sole function provide pricing structuring commodity risk management logistics back office services ees black wanda curry report ews office chairman change driven explosive growth ees resulting need tap systems resources risk expertise wholesale groups order continue grow take advantage current market opportunities change allow us quickly capture benefits scale process technology risk logistics back office functions larger enron capability discussed employee meeting march important objectives change allows us reach goals quickly specifically following groups within former ees risk management group become part new group reporting black gas power tariff desks options desk site profiles consumption desks matrix products secondary products desks dsm group iam along execution capability remain ees report ees office chairman pleased announce ozzie pagan agreed lead function ozzie established commercial dealmaker ena experience power trading origination plant development addition services group provide billing information retail services led evan hughes remain ees report ees ooc support functions within former ees risk controls operations group currently support dsm services groups remain ees remaining parts risk controls operations group become part ews reporting wanda curry part change pleased add evan hughes ozzie pagan ees operating committee addition structuring group led sean holmes named deal management vision group remains discussed employee meeting however also facilitate ensure productive transaction interaction ees ews asked marty sunde part vice chairman role resource lead formal restructuring group enhance protect value several key transactions portfolio primarily california newly created function led anthony dayao continue report ees ooc support ees ews requirements changes organizational structure vision objectives detailed ees employee meeting march remain need continue understand drive deeper markets manage client relationships mine portfolio build new products execute opportunities thanks hard work help become worlds leading energy retailer enron leading division questions please hesitate ask,0
lng meeting hello lng meeting held morning changed tomorrow wednesday th ebl thanks shirley,0
fwd optical network engineering enron research offsite meeti ng fyi forwarded ravi thuraisingham enron communications john griebling palm net please respond john griebling scott yeager enron communications enron communications dorn palm net diane hetzel palm net cc bcc ravi thuraisingham enron communications subject fwd optical network engineering enron research offsite meeti ng scott definitely going network engineering research site breckenridge weekend april fri sat sun people plan meeting lodging facilities town let us know want arrange social event activity place group assistant sheryl lara coordinating also publishing agenda attendee invites soon finalize next week forwarded message hi vince official go signal john griebling sheryl shirely please plan space etc together please plan people regards ravi p vince john stinson send another e mail proposed ag,0
argentina modelling michael p thursday vince michael guerriero enron development pm vince j kaminski hou ect ect cc subject argentina modelling could meet tomorrow afternoon mfg vince j kaminski ect pm michael guerriero enron development enron development cc vince j kaminski hou ect ect subject argentina modelling michael sorry around holidays shall glad meet lst week january please call assistant shirley crenshaw vince michael guerriero enron development pm vince j kaminski ect cc subject argentina modelling responsible argentina operation would like discuss modelling issues could available wednesday meeting thanks mfg,0
joe h vince mark tawney called said needs make salary adjustment joe hrgovcic appears outside offer told would support within reason would person ultimately k request research side also interested moving joe research formally onto weather desk told would discussed return next week stinson,0
good morning vince attached find draft thought document based conversations yesterday think captures much recollections please edit liking pass back next steps laid plan action lead us successful conclusion draft christmas let emphasize working document feel free modify whatever ways think appropriate bashful want us get right great day friend john enroninterview doc john martin carr p collins chair finance finance department baylor university po box waco tx office fax j martin baylor edu web http hsb baylor edu html martinj home html,0
london research intranet felipe following discussion please close intranet access london research group site inaccuracies found content may implications trading operations closing site force traders contact group direct ensuring correct information passed site completely overhauled coming months see little benefit reinstating access site near future many thanks steve,0
energy operations promotions pleased announce following promotions effective february within ena energy operations individuals promoted recognition outstanding performance contributions continuing success enron north america please join congratulating employees promotions promotions senior director kristin albrecht serves business controller ena power business along leslie reeves kristin ensures power transactions handled accurately smoothly beginning end kristin primary focus risk controls daily reporting positions p l east power trading west power trading genco operations brenda herod serves business controller ena assets business working gas assets group texas trading desk responsibilities include global contracts facilities risk management confirmations gas scheduling volume management settlements regulatory compliance houston pipeline lrc enron midstream services leslie reeves business controller ena power business working closely kristin albrecht managing mid back office support east west genco power trading groups primary responsibilities documentation settlements focus contract administration cash forecasting cash management mary solmonson leads ena global database management group collecting validating information customers contracts pipelines facilities well published prices activities support overall energy operations responsibilities risk logistics settlement addition mary instrumental promotion implementation global systems across enron provide control consistency common data throughout organization promotions director scott pleus serves business controller enron emerging products businesses include bandwidth pulp paper weather primary responsibilities include day day functions risk management confirmations pulp paper scheduling settlements well long term system development sheri thomas led ena natural gas system settlements function throughout responsibilities included cash forecasting collections accountability receivables payables ena gas business east west central regions us sheri accepted new assignment january managing enron online operations promotions manager bennett kaufman manages risk management administration function equity trading debt trading groups also experience supporting options book natural gas derivatives trading prior joining enron early bennett worked trading operations investment banking firms new york richard mckeel systems integration analyst within global database management overseeing change management process new software development needed interface global applications strategic systems sitara unify enpower solarc sap enrononline promotions specialist senior specialist analyst specialist sylvia campos deal compliance contract records tara eslick financial trading risk management kam keiser gas risk management central desk victoria versen gas logistics east desk phillip love risk controls operational analysis jeff coats gas risk management central desk monica lande west power risk management portland senior clerk staff trang le strategic operations project unify john postlewaite east power risk management anthony campos deal compliance contract records diane seib documentation calgary kori loibl gas risk management financial books donnie vinson west power risk management portland imelda frayre strategic operations project sitara clerk senior clerk staff specialist leslie smith information records management amy degeyter power documentation melinda whalen documentation calgary michael nguyen emerging products risk management sherlyn schumack logistics volume management karie hastings strategic operations project sitara addition peggy hedstrom brent price promoted vice president announced memo issued enron corp office chairman peggy leads energy operations enron canada responsibility risk management documentation gas logistics peggy also serves key interface canadian pipelines member several industry committees brent senior business controller gas trading operations u responsibilities include risk management confirmations volume management settlements east west central regions also provides operational expertise due diligence phase evaluations joint ventures acquisitions,0
fea announces release energy vince stinson successfully downloaded energy working update license use software zimin vince j kaminski zimin lu hou ect ect cc vince j kaminski hou ect ect stinson gibner hou ect ect subject fea announces release energy zimin please take look think download update vince forwarded vince j kaminski hou ect michelle mendoza pm cc subject fea announces release energy january vince kaminski enron north america corp smith street th floor rm b houston tx dear vince kaminski inform release energy ftp download instructions available immediately download instructions included end email cd manuals shipped within weeks please see information regarding new release please confirm correct recipient shipment address correct clicking reply send changes need made please make changes reply warning please note received license key energy june need contact support fea com call obtain new license key enable new version swing users energy swing replaces swing product see energy user manual discussion changes contact fea necessary license keys able run new old swing simultaneously heres overview new changed features since version energy forward curve jump parameters calibrated use energy functions inputs outputs powercalib comcalib changed see corresponding function syntax user guide additional information speed improvement module beta energy basics different interpolation schemes forward prices supported use indexswap exoticswap optindexswap floating price linked series futures dates futures dates need close dates specified forward curve input new utility function pathutil allows simulate visualize price paths consistent models supported energy speed improvement energy advanced different interpolation schemes forward prices supported use optdiffswap diffswap floating price linked series futures dates futures dates need close dates specified forward curve input calspreadopt allows specification two different mean reversion rates speed improvement energy swing swingopt stripswingopt allow valuation swing straddle contracts overall load constraints speed improvement module beta energy weather speed improvement questions please feel free contact us appreciate opportunity continuing service enron north america corp regards michelle mendoza support fea com financial engineering associates inc fea download energy via ftp follow following instructions note using explorer leads unpredictable results suggest using netscape dos shell using netscape location box type ftp energy ftp fea com password rbzxgv energy win exe windows nt download run local drive using dos shell dos prompt type ftp ftp fea com user energy password rbzxgv type binary hit return type ls list available files type get energy win exe wait ftp prompt type quit file downloaded directory entered ftp site double click exe follow instructions screen,0
